hour,mean_downtime_ratio,mean_efficiency,mean_throughput,total_hours
7,0.9918453639383872,0.0081546360616128,91.5,2
8,0.9708333333333334,0.02916666666666665,53.0,2
9,0.7369462962962965,0.26305370370370346,55.666666666666664,3
10,0.3714243130587226,0.6285756869412773,220.5,10
11,0.38187809792122357,0.6181219020787764,311.2916666666667,24
12,0.7318312152927035,0.26816878470729655,150.23076923076923,26
13,0.7694642953552049,0.2305357046447951,63.44117647058823,34
14,0.5550524273186956,0.4338238833642717,208.95,40
15,0.43299276328652314,0.5670072367134769,299.32608695652175,47
16,0.45206108221008257,0.5479389177899174,280.45238095238096,43
17,0.3859588822849998,0.6140411177150001,290.88,25
18,0.38393284184375626,0.6160671581562436,279.0,8
20,0.2666736111111118,0.7333263888888881,129.0,1
